screen_name,location
Enrique_Cosp,"Asunción, Distrito Capital de Paraguay, Región Oriental, 1301, Paraguay"
MyuMatu20,"Santiago, Cantón Paraíso, Provincia Cartago, 30202, Costa Rica"
Diegopoggiese,"Bahía Blanca, Partido de Bahía Blanca, Buenos Aires, Argentina"
LacamporaLa,"Santa Fe, Argentina"
SacsCFC,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
rodolfojeisonc1,"Manaus, Microrregião de Manaus, Mesorregião Centro Amazonense, Amazonas, Região Norte, 69000-000, Brasil"
donmiope96,"Ciudad del Este, Alto Paraná, Región Oriental, Paraguay"
el_argento,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
policeglock,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
HectorGarCam,"Puebla, México"
CzechWtf,"Zárate, Partido de Zárate, Buenos Aires, 2800, Argentina"
cacontro,"Querétaro, México"
raztc,"Distrito Federal, Região Centro-Oeste, Brasil"
erika_zain,"San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina"
JooCarlosdosS20,"Brusque, Millau, Aveyron, Occitanie, France métropolitaine, 12360, France"
miguel_chq,"Arequipa, Peru"
lfsanchezme,"Bogotá, Distrito Capital de Bogotá, 110321, Colombia"
jnascim,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
Salsaparrilha4,"Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1100-148, Portugal"
