place,latitude,longitude,count
"Gualeguaychú, Distrito Costa Uruguay Sur, Departamento Gualeguaychú, Entre Ríos, 2820, Argentina",-33.0078585,-58.5103466,1
"Morelia, Michoacán de Ocampo, 58000, México",19.7027116,-101.1923818,1
"Puebla, México",18.833333,-98.0,1
"Rosarito, Playas de Rosarito, Baja California, 22703, México",32.3648126,-117.0556261,1
"Guayas, Ecuador",-2.0,-80.0,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Northport, Suffolk County, New York, 11768, United States",40.9040576,-73.3420169301887,1
"Recoleta, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.587358,-58.39157,1
"Bogotá, Distrito Capital de Bogotá, 110321, Colombia",4.59808,-74.0760439,1
"Florida, United States of America",27.7567667,-81.4639835,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Manassas, Manassas (city), Virginia, 20110, United States",38.7509488,-77.4752667,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Florida, United States of America",27.7567667,-81.4639835,1
"Cúcuta, Norte de Santander, 047, Colombia",7.8971458,-72.5080387,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Santa Cruz de la Sierra, Provincia Andrés Ibáñez, Santa Cruz, 3212, Bolivia",-17.7834936,-63.1820853,1
"Xalapa, Veracruz de Ignacio de la Llave, 91170, México",19.5408338,-96.9146374,1
"Rosario, Municipio de Rosario, Departamento Rosario, Santa Fe, S2000, Argentina",-32.9595004,-60.6615415,1
